IR,OR,thickness,CT
0,50,50,2106
50,100,50,14799
100,150,50,40324
150,201,50,78835
201,251,50,74474
251,302,50,91369
302,352,50,108405
352,403,50,125591
403,454,50,142935
454,505,51,160446
505,556,51,178131
556,607,51,195999
607,659,51,214058
659,710,51,232319
710,762,51,250789
762,813,51,269478
813,865,51,288396
865,917,51,307553
917,969,51,326958
969,1021,52,346621
1021,1073,52,366553
1073,1125,52,386764
1125,1178,52,407266
1178,1230,52,428069
1230,1283,52,449186
1283,1335,52,470626
1335,1388,52,492403
1388,1441,52,514528
1441,1494,52,537014
1494,1547,53,559874
1547,1600,53,583120
1600,1653,53,606767
1653,1707,53,630827
1707,1760,53,655316
1760,1814,53,680246
1814,1868,53,705633
1868,1922,53,731492
1922,1975,53,757838
1975,2030,54,784688
2030,2084,54,812056
2084,2138,54,839961
2138,2192,54,868418
2192,2247,54,897446
2247,2301,54,927062
2301,2356,54,957284
2356,2411,54,988132
2411,2466,54,1019624
2466,2521,55,1051781
2521,2576,55,1084622
2576,2631,55,1118169
2631,2687,55,1152442
2687,2742,55,1187464
2742,2798,55,1223256
2798,2853,55,1259843
2853,2909,55,1297247
2909,2965,55,1335493
2965,3021,56,1374606
3021,3077,56,1414610
3077,3134,56,1455533
3134,3190,56,1497402
3190,3246,56,1540243
3246,3303,56,1584085
3303,3360,56,1628957
3360,3417,56,1674890
3417,3473,56,1721913
3473,3530,57,1770058
3530,3588,57,1819358
3588,3645,57,1869845
3645,3702,57,1921554
3702,3760,57,1974520
3760,3817,57,2028778
3817,3875,57,2084366
3875,3933,57,2141322
3933,3991,57,2199684
3991,4049,58,2259493
4049,4107,58,2320789
4107,4166,58,2383615
4166,4224,58,2448015
4224,4283,58,2514033
4283,4341,58,2581714
4341,4400,58,2651107
4400,4459,58,2722259
4459,4518,59,2795220
4518,4577,59,2870042
4577,4636,59,2946776
4636,4696,59,3025478
4696,4755,59,3106202
4755,4815,59,3189005
4815,4875,59,3273948
4875,4934,59,3361089
4934,4994,59,3450491
4994,5054,60,3542217
5054,5115,60,3636334
5115,5175,60,3732909
5175,5235,60,3832011
5235,5296,60,3933712
5296,5357,60,4038084
5357,5418,60,4145204
5418,5478,60,4255150
5478,5540,61,4368000
5540,5601,61,4483837
5601,5662,61,4602746
5662,5723,61,4724813
5723,5785,61,4850128
5785,5847,61,4978783
5847,5908,61,5110872
5908,5970,61,5246494
5970,6032,62,5385747
6032,6095,62,5528735
6095,6157,62,5675564
6157,6219,62,5826343
6219,6282,62,5981184
6282,6344,62,6140203
6344,6407,62,6303519
6407,6470,62,6471254
6470,6533,63,6643533
6533,6596,63,6820487
6596,6660,63,7002249
6660,6723,63,7188956
6723,6787,63,7380750
6787,6850,63,7577775
6850,6914,63,7780182
6914,6978,63,7988124
6978,7042,64,8201760
7042,7106,64,8421254
7106,7171,64,8646773
7171,7235,64,8878491
7235,7300,64,9116585
7300,7364,64,9361240
7364,7429,64,9612644
7429,7494,64,9870992
7494,7559,65,10136483
7559,7624,65,10409325
7624,7690,65,10689729
7690,7755,65,10977914
7755,7821,65,11274106
7821,7887,65,11578536
7887,7952,65,11891443
7952,8018,66,12213074
8018,8085,66,12543681
8085,8151,66,12883525
8151,8217,66,13232876
8217,8284,66,13592010
8284,8351,66,13961213
8351,8417,66,14340778
8417,8484,66,14731007
8484,8551,67,15132213
8551,8619,67,15544717
8619,8686,67,15968850
8686,8753,67,16404953
8753,8821,67,16853376
8821,8889,67,17314482
8889,8957,67,17788643
8957,9025,68,18276245
9025,9093,68,18777681
9093,9161,68,19293362
9161,9229,68,19823706
9229,9298,68,20369147
9298,9367,68,20930132
9367,9436,68,21507120
9436,9504,68,22100586
9504,9574,69,22711017
9574,9643,69,23338918
9643,9712,69,23984807
9712,9782,69,24649220
9782,9851,69,25332707
9851,9921,69,26035838
9921,9991,69,26759197
9991,10061,70,27503388
10061,10131,70,28269035
10131,10202,70,29056777
10202,10272,70,29867278
10272,10343,70,30701218
10343,10414,70,31559301
10414,10485,70,32442251
10485,10556,71,33350815
10556,10627,71,34285764
10627,10698,71,35247891
10698,10770,71,36238016
10770,10841,71,37256983
10841,10913,71,38305662
10913,10985,71,39384951
10985,11057,72,40495775
11057,11129,72,41639089
11129,11202,72,42815877
11202,11274,72,44027153
11274,11347,72,45273965
11347,11420,72,46557391
11420,11493,72,47878545
11493,11566,73,49238575
11566,11639,73,50638663
11639,11712,73,52080032
11712,11786,73,53563940
11786,11860,73,55091686
11860,11933,73,56664610
11933,12007,73,58284093
12007,12082,74,59951560
12082,12156,74,61668480
12156,12230,74,63436371
12230,12305,74,65256795
12305,12379,74,67131366
12379,12454,74,69061748
12454,12529,75,71049657
12529,12605,75,73096864
12605,12680,75,75205195
12680,12755,75,77376535
12755,12831,75,79612826
12831,12907,75,81916076
12907,12983,75,84288351
12983,13059,76,86731787
13059,13135,76,89248584
13135,13211,76,91841014
13211,13288,76,94511420
13288,13364,76,97262221
13364,13441,76,100095909
13441,13518,76,103015059
13518,13595,77,106022324
13595,13673,77,109120445
13673,13750,77,112312248
13750,13828,77,115600647
13828,13905,77,118988651
13905,13983,77,122479363
13983,14061,78,126075987
14061,14140,78,129781826
14140,14218,78,133600288
14218,14297,78,137534891
14297,14375,78,141589264
14375,14454,78,145767151
14454,14533,79,150072414
14533,14612,79,154509038
14612,14692,79,159081137
14692,14771,79,163792953
14771,14851,79,168648862
14851,14931,79,173653382
14931,15011,79,178811171
15011,15091,80,184127036
15091,15171,80,189605937
15171,15251,80,195252990
15251,15332,80,201073475
15332,15413,80,207072837
15413,15494,80,213256694
15494,15575,81,219630841
15575,15656,81,226201259
15656,15737,81,232974114
15737,15819,81,239955768
15819,15901,81,247152786
15901,15983,81,254571936
15983,16065,82,262220202
16065,16147,82,270104786
16147,16229,82,278233117
16229,16312,82,286612856
16312,16395,82,295251905
16395,16478,82,304158414
16478,16561,83,313340787
16561,16644,83,322807690
16644,16727,83,332568059
16727,16811,83,342631109
16811,16894,83,353006340
16894,16978,83,363703548
16978,17062,84,374732832
17062,17147,84,386104601
17147,17231,84,397829587
17231,17316,84,409918851
17316,17400,84,422383794
17400,17485,84,435236164
17485,17570,85,448488071
17570,17656,85,462151990
17656,17741,85,476240777
17741,17827,85,490767675
17827,17912,85,505746329
17912,17998,85,521190791
17998,18084,86,537115535
18084,18171,86,553535467
18171,18257,86,570465936
18257,18344,86,587922743
18344,18430,86,605922157
18430,18517,86,624480922
18517,18605,87,643616270
18605,18692,87,663345934
18692,18779,87,683688156
18779,18867,87,704661703
18867,18955,87,726285875
18955,19043,88,748580520
19043,19131,88,771566040
19131,19219,88,795263410
19219,19308,88,819694180
19308,19397,88,844880496
19397,19486,88,870845102
19486,19575,89,897611354
19575,19664,89,925203232
19664,19753,89,953645345
19753,19843,89,982962945
19843,19933,89,1013181930
19933,20023,89,1044328857
20023,20113,90,1076430945
20113,20203,90,1109516081
20203,20294,90,1143612828
20294,20384,90,1178750428
20384,20475,90,1214958799
20475,20566,91,1252268544
20566,20657,91,1290710945
20657,20749,91,1330317961
20749,20840,91,1371122224
20840,20932,91,1413157034
20932,21024,91,1558861948
