| [[Eridanus (constellation)|Eridanus]] 	 [[Theta Eridani|?¹ Eridani A]] 	 Acamar 	 
| [[Eridanus (constellation)|Eridanus]] 	 a Eridani A 	 [[Achernar]] 	 
|[[Cassiopeia (constellation)|Cassiopeia]] 	 [[Eta Cassiopeiae|? Cassiopeiae A]] 	 Achird 	 Apparently first applied to Eta Cassiopeiae in the [[Skalnate Pleso Atlas of the Heavens]] published in 1950, but is not known prior to that.<ref name="hr">{{cite journal | bibcode=1995yCat.5050....0H | title=VizieR Online Data Catalog: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991) | journal=VizieR On-line Data Catalog: V/50.  Originally published in: 1964BS....C......0H | volume=5050 | author1=Hoffleit | first1=D. | last2=Warren | first2=W. H. | year=1995 }}</ref>
| [[Scorpius]] 	 [[Beta Scorpii|ß Scorpii Aa]] 	 Acrab 	 The traditional names of the ß Scorpii system included Akrab and Elakrab, derived (like Acrab) from [[Arabic]] ??????  ''al-‘aqrab'', "the scorpion", and ''graffias'', which is [[Italian language|Italian]] for "claws" and which was also applied to [[Xi Scorpii]].<ref name="graffias">R. G. Aitken Publications of the Astronomical Society of the Pacific Vol. 36, No. 211 (June, 1924), pp. 124–130 {{JSTOR|40692425}}</ref><ref name="allen1963" />{{rp|p367}}
| [[Crux]] 	 [[Alpha Crucis|a Crucis Aa]] 	 Acrux 	 ''Acrux'' is a modern contraction of the [[Bayer designation]], coined in the 19th century, but which entered into common use only by the mid 20th century.<ref>''Memoirs of the Rev. Walter M. Lowrie: missionary to China'' (1849), p. 93. Described as an "Americanism" in ''The Geographical Journal'', vol. 92, Royal Geographical Society, 1938.</ref>
| [[Cancer (constellation)|Cancer]] 	 [[Alpha Cancri|a Cancri Aa]] 	 Acubens 	 The name was originally Arabic  {{lang|ar| ???????|rtl=yes}}  ''al-zubana'', "the claws".
| [[Leo (constellation)|Leo]] 	 [[Zeta Leonis|? Leonis Aa]] 	 Adhafera 	 Also called Aldhafera.
| Canis Major 	 [[Epsilon Canis Majoris|e Canis Majoris A]] 	 Adhara 	
| [[Andromeda (constellation)|Andromeda]] 	 [[Xi Andromedae|? Andromedae]] 	 Adhil 	 The name was originally Arabic  {{lang|ar| ?????|rtl=yes}} að-ðayl, 'the [[train (clothing)|train]]' (lit. 'the tail')
| [[Taurus (constellation)|Taurus]] 	 [[Epsilon Tauri|e Tauri Aa1]] 	 Ain 	
| [[Sagittarius (constellation)|Sagittarius]] 	 [[Nu1 Sagittarii|?¹ Sagittarii A]] 	 Ainalrami 	
